time_step,user_satisfaction,operator_profit,grid_friendliness,total_reward
0,0.8634955410028469,0.03301395348837221,-0.6288372093023255,0.4109768210523016
1,0.8637171613806947,0.01980000000000004,-0.37714285714285717,0.4448554359808493
2,0.85125,0.0,0.0,0.49050000000000005
3,0.0,0.0,0.0,0.15
4,0.0,0.0,0.0,0.15
5,0.0,0.0,0.0,0.15
6,0.0,0.0,0.0,0.15
7,0.0,0.0,0.0,0.15
8,0.0,0.0,0.0,0.15
9,0.0,0.0,0.0,0.15
10,0.0,0.0,0.0,0.15
11,0.0,0.0,0.0,0.15
12,0.0,0.0,0.0,0.15
13,0.0,0.0,0.0,0.15
14,0.0,0.0,0.0,0.15
15,0.0,0.0,0.0,0.15
16,0.0,0.0,0.0,0.15
17,0.0,0.0,0.0,0.15
18,0.0,0.0,0.0,0.15
19,0.0,0.0,0.0,0.15
20,0.0,0.0,0.0,0.15
21,0.0,0.0,0.0,0.15
22,0.0,0.0,0.0,0.15
23,0.0,0.0,0.0,0.15
24,0.0,0.0,0.0,0.15
25,0.0,0.0,0.0,0.15
26,0.0,0.0,0.0,0.15
27,0.0,0.0,0.0,0.15
28,0.0,0.0,0.0,0.15
29,0.0,0.0,0.0,0.15
